coin_id,priority_score,binance,bybit,kucoin,networks,alternative_exchanges
bitcoin,10.919,True,True,True,bitcoin,"ascendex (bitmax), biconomy.com, bigone, bingx, bit2me, bitbank, bitdelta, bitfinex, bitflyer, bitget, bitkan, bitmart, bitrue, bitstamp, bitunix, bitvavo, blofin, btse, bullish, bvox, bydfi, coinbase exchange, coincatch, coincheck, coinex, coinstore, coinup.io, coinw, crypto.com exchange, dex-trade, digifinex, fmfw.io, gate, gemini, grovex, hashkey exchange, hibt, htx, itbit, kcex, kraken, latoken, lbank, mexc, okx, ourbit, p2b, phemex, pionex, slex, tapbit, toobit, tothemoon, trubit, weex, xt.com, zoomex"
ethereum,10.5573,True,True,True,ethereum,"ascendex (bitmax), azbit, backpack exchange , biconomy.com, bingx, bit2me, bitbank, bitfinex, bitget, bitkan, bitmart, bitrue, bitstamp, bitunix, bitvavo, blofin, btse, bullish, bvox, bydfi, coinbase exchange, coincatch, coinex, coinstore, cointr, coinup.io, coinw, crypto.com exchange, deepcoin, digifinex, fmfw.io, gate, gemini, grovex, hashkey exchange, hibt, hotcoin, htx, kcex, kraken, latoken, lbank, mexc, okx, orangex, ourbit, p2b, phemex, pionex, slex, tapbit, toobit, weex, whitebit, xt.com, zoomex"
tether,10.6387,True,True,True,"aptos, avalanche, celo, ethereum, kava, klay-token, near-protocol, solana, terra-2, the-open-network, tron","ascendex (bitmax), biconomy.com, bigone, bingx, bitdelta, bitget, bitmart, bitrue, bitunix, bvox, coinstore, coinup.io, coinw, crypto.com exchange, deepcoin, digifinex, gate, grovex, hibt, hotcoin, htx, kcex, kraken, latoken, lbank, mexc, okx, ourbit, p2b, pionex, tapbit, toobit, weex, xt.com, zoomex"
ripple,9.9938,True,True,True,ripple,"ascendex (bitmax), azbit, biconomy.com, bigone, bingx, bit, bit2me, bitbank, bitcastle, bitdelta, bitfinex, bitflyer, bitget, bitkan, bitkub, bitrue, bitstamp, bitunix, bitvavo, blofin, bullish, bvox, bydfi, cex.io, coinbase exchange, coincatch, coinex, coinstore, cointr, coinup.io, coinw, crypto.com exchange, deepcoin, digifinex, earnbit, fmfw.io, gate, gemini, gmo japan, grovex, hibt, hotcoin, htx, kcex, kraken, lbank, mexc, okx, ourbit, p2b, phemex, pionex, pointpay, tapbit, toobit, trubit, weex, whitebit, xt.com, zoomex"
binancecoin,9.7797,True,True,True,ethereum,"ascendex (bitmax), azbit, biconomy.com, bingx, bit, bitcastle, bitdelta, bitget, bitkan, bitkub, bitrue, bitstorage, bittime, bitunix, bitvavo, blofin, bvox, bydfi, coincatch, coinex, coinstore, cointr, coinup.io, coinw, deepcoin, dex-trade, dexalot, digifinex, gate, hibt, hotcoin, htx, kcex, kraken, latoken, lbank, mexc, okx, ourbit, p2b, pancakeswap infinity clmm (bsc), phemex, pionex, pointpay, qmall, safebit, slex, tapbit, tokpie, toobit, tothemoon, trubit, weex, xt.com, zoomex"
solana,9.9639,True,True,True,solana,"azbit, backpack exchange , biconomy.com, bingx, bit, bit2me, bitbank, bitfinex, bitget, bitkan, bitmart, bitrue, bitstamp, bitunix, bitvavo, blofin, bullish, bvox, bydfi, coinbase exchange, coincatch, coinex, coinstore, coinw, crypto.com exchange, deepcoin, digifinex, fmfw.io, gate, gemini, gmo japan, grovex, hashkey exchange, hibt, hotcoin, htx, kcex, kraken, latoken, lbank, mexc, okx, ourbit, p2b, phemex, pionex, qmall, slex, tapbit, toobit, weex, whitebit, xt.com, zoomex"
usd-coin,10.0211,True,True,True,"algorand, aptos, arbitrum-one, avalanche, base, celo, ethereum, hedera-hashgraph, hyperevm, moonriver, near-protocol, optimistic-ethereum, polkadot, polygon-pos, sei-v2, solana, sonic, stellar, sui, tron, unichain, world-chain, xdc-network, xrp, zksync","aerodrome slipstream, azbit, backpack exchange , biconomy.com, bingx, bit2me, bitget, bitrue, bitunix, bullish, bydfi, coinw, deepcoin, defituna, dex-trade, dexalot, digifinex, gate, grovex, hotcoin, hyperliquid, kcex, kraken, latoken, lbank, mexc, okx, orca, ourbit, pionex, slex, tapbit, toobit, uniswap v4 (ethereum), weex, xt.com"
dogecoin,9.5114,True,True,True,dogecoin,"ascendex (bitmax), azbit, biconomy.com, bigone, bingx, bit, bit2me, bitbank, bitcastle, bitfinex, bitget, bitkan, bitkub, bitopro, bitrue, bitso, bitstamp, bitunix, bitvavo, blofin, bullish, bvox, bydfi, coinbase exchange, coincatch, coinex, coinstore, cointr, coinup.io, coinw, crypto.com exchange, deepcoin, dex-trade, digifinex, earnbit, gate, gemini, gmo japan, grovex, hashkey exchange, hibt, hotcoin, htx, icrypex, indodax, kcex, lbank, mercado bitcoin, mexc, okj, okx, phemex, pionex, pointpay, safebit, slex, tapbit, toobit, trubit, weex, whitebit, xt.com, zoomex"
staked-ether,8.6212,False,True,False,ethereum,"bingx, bitget, bydfi, changenow, curve (ethereum), deribit spot, gate, hitbtc, htx, latoken, mexc, okx, openocean, tapbit, uniswap v2 (ethereum), uniswap v3 (ethereum), zoomex"
tron,9.2533,True,True,True,tron,"ascendex (bitmax), azbit, biconomy.com, bigone, bit, bitcastle, bitcointry, bitdelta, bitget, bitmart, bitrue, bitstorage, bitunix, bitvavo, bullish, bvox, bydfi, coinex, coins.ph, coinstore, cointr, coinup.io, coinw, deepcoin, dex-trade, digifinex, emirex, exmo, fameex, fmfw.io, gate, grovex, hotcoin, htx, indodax, inex, kcex, latoken, lbank, lcx exchange, mexc, nonkyc.io, okx, orangex, ourbit, p2b, phemex, pionex, pointpay, poloniex, qmall, safebit, slex, tapbit, tokpie, toobit, tothemoon, trubit, weex, whitebit, xt.com, zondacrypto, zoomex"
